Name,Area,Population,Population growth rate,Birth rate,Death rate,Net migration rate,Maternal mortality rate,Infant mortality rate,Life expectancy at birth,Total fertility rate,Health expenditures,HIV/AIDS - adult prevalence rate,HIV/AIDS - people living with HIV/AIDS,HIV/AIDS - deaths,Obesity - adult prevalence rate,Children under the age of 5 years underweight,Education expenditures,"Unemployment, youth ages 15-24",Exchange Rate,Currency,GDP (purchasing power parity),GDP - real growth rate,GDP - per capita (PPP),Gross national saving,Industrial production growth rate,Labor Force,Unemployment rate,Distribution of family income,Taxes and other revenues,Budget surplus (+) or deficit (-),Public debt,Inflation rate (consumer prices),Central bank discount rate,Commercial bank prime lending rate,Stock of narrow money,Stock of broad money,Stock of domestic credit,Market value of publicly traded shares,Current account balance,Exports,Exports - partners,Exports - commodities,Imports,Imports - partners,Imports - commodities,Reserves of foreign exchange and gold,External debt,Stock of direct foreign investment - at home,Stock of direct foreign investment - abroad,Military expenditures,Airports,Railways,Roadways,Waterways,Merchant marine,Electricity - production,Electricity - consumption,Electricity - exports,Electricity - imports,Electricity - installed generating capacity,Electricity - from fossil fuels,Electricity - from nuclear fuels,Electricity - from hydroelectric plants,Electricity - from other renewable sources,Crude oil - production,Crude oil - exports,Crude oil - imports,Crude oil - proved reserves,Refined petroleum products - production,Refined petroleum products - consumption,Refined petroleum products - exports,Refined petroleum products - imports,Natural gas - production,Natural gas - consumption,Natural gas - exports,Natural gas - imports,Natural gas - proved reserves,Telephones - fixed lines,Telephones - mobile cellular,Internet users
French Polynesia,"4,167 sq km","290,373",0.85%,"14.5 births/1,000 population","5.3 deaths/1,000 population","-0.8 migrant(s)/1,000 population",-,"4.6 deaths/1,000 live births",77.5 years,1.87 children born/woman,-,-,-,-,-,-,-,56.70%,110.2,Comptoirs Francais du Pacifique francs (XPF) per US dollar -,$5.49 billion,2%,"$17,000 ",-,-,"126,300",21.80%,-,39.4% (of GDP),1.2% (of GDP),-,0%,-,-,-,$3.81 billion,-,-,$207.7 million,$1.245 billion,"Japan 23.1%, Hong Kong 21.5%, Kyrgyzstan 15.9%, US 15.9%, France 12.4%(2017)","cultured pearls, coconut products, mother-of-pearl, vanilla, shark meat",$2.235 billion,"France 27.9%, South Korea 12.1%, US 10.1%, China 7.3%, NZ 6.7%, Singapore 4.2%(2017)","fuels, foodstuffs, machinery and equipment",-,-,$905 million,$349.3 million,-,54,-,"2,590 km",-,17,677.3 million kWh,629.9 million kWh,0 kWh,0 kWh,"253,000 kW",70% of total installed capacity,0% of total installed capacity,19% of total installed capacity,11% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,"6,600 bbl/day",0 bbl/day,"6,785 bbl/day",0 cu m,0 cu m,0 cu m,0 cu m,0 cu m,"60,530","280,111","195,275"
Baker Island,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
France,"643,801 sq km","67,364,357",0.37%,"12.1 births/1,000 population","9.4 deaths/1,000 population","1.1 migrant(s)/1,000 population","8 deaths/100,000 live births","3.2 deaths/1,000 live births",82 years,2.06 children born/woman,11.5% of GDP,0.50%,"200,000",-,21.60%,-,5.5% of GDP,24.60%,0.885,euros (EUR) per US dollar -,$2.856 trillion,2.30%,"$44,100 ",22.9% of GDP,2%,30.68 million,9.40%,29.3,53.8% (of GDP),-2.6% (of GDP),96.8% of GDP,1.20%,0%,1.29%,$1.465 trillion,$1.465 trillion,$4.334 trillion,$1.591 trillion,-$14.83 billion,$549.9 billion,"Germany 14.8%, Spain 7.7%, Italy 7.5%, US 7.2%, Belgium 7%, UK 6.7%(2017)","machinery and transportation equipment, aircraft, plastics, chemicals, pharmaceutical products, iron and steel, beverages",$601.7 billion,"Germany 18.5%, Belgium 10.2%, Netherlands 8.3%, Italy 7.9%, Spain 7.1%, UK 5.3%, US 5.2%, China 5.1%(2017)","machinery and equipment, vehicles, crude oil, aircraft, plastics, chemicals",$156.4 billion,$5.36 trillion,$858.3 billion,$1.429 trillion,1.79% of GDP,464,"29,640 km","1,028,446 km",-,555,529.1 billion kWh,450.8 billion kWh,61.41 billion kWh,19.9 billion kWh,130.8 million kW,17% of total installed capacity,50% of total installed capacity,15% of total installed capacity,19% of total installed capacity,"15,170 bbl/day",0 bbl/day,1.147 million bbl/day,65.97 million bbl,1.311 million bbl/day,1.705 million bbl/day,"440,600 bbl/day","886,800 bbl/day",16.99 million cu m,41.88 billion cu m,6.031 billion cu m,48.59 billion cu m,8.41 billion cu m,38.687 million,69.017 million,"57,226,585"
French Southern and Antarctic Lands,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Gambia, The","11,300 sq km","2,092,731",1.99%,"28.6 births/1,000 population","6.9 deaths/1,000 population","-1.9 migrant(s)/1,000 population","706 deaths/100,000 live births","58.4 deaths/1,000 live births",65.4 years,3.42 children born/woman,7.3% of GDP,1.60%,"21,000","1,100",10.30%,16.40%,2.8% of GDP,13.10%,49.74,dalasis (GMD) per US dollar -,$5.556 billion,4.60%,"$2,600 ",6.8% of GDP,-0.80%,"777,100",-,50.2,20.3% (of GDP),-2.6% (of GDP),88% of GDP,8%,9%,29%,$297.2 million,$297.2 million,$552.5 million,-,-$194 million,$72.9 million,"Guinea-Bissau 51.9%, Vietnam 14.6%, Senegal 8.8%, Mali 7.2%(2017)","peanut products, fish, cotton lint, palm kernels",$376.9 million,"Cote dIvoire 11.5%, Brazil 10.6%, Spain 10.2%, China 7.8%, Russia 6.4%, Netherlands 5.3%, India 5%(2017)","foodstuffs, manufactures, fuel, machinery and transport equipment",$170 million,$586.8 million,-,-,1.48% of GDP,1,-,"3,740 km",390 km,8,304.1 million kWh,282.8 million kWh,0 kWh,0 kWh,"117,000 kW",97% of total installed capacity,0% of total installed capacity,0% of total installed capacity,3% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,"3,800 bbl/day",42 bbl/day,"3,738 bbl/day",0 cu m,0 cu m,0 cu m,0 cu m,0 cu m,"37,969","2,838,127","371,785"
Gabon,"267,667 sq km","2,119,036",2.73%,"26.5 births/1,000 population","6.2 deaths/1,000 population","-2 migrant(s)/1,000 population","291 deaths/100,000 live births","32.9 deaths/1,000 live births",68 years,3.52 children born/woman,3.4% of GDP,4.20%,"56,000","1,300",15%,6.50%,2.7% of GDP,35.70%,605.3,Cooperation Financiere en Afrique Centrale francs (XAF) per US dollar -,$36.66 billion,0.50%,"$18,100 ",25.6% of GDP,1.80%,"557,800",28%,42.2,17.6% (of GDP),-1.9% (of GDP),62.7% of GDP,2.70%,3%,15%,$2.357 billion,$2.357 billion,$2.91 billion,-,-$725 million,$5.564 billion,"China 36.4%, US 10%, Ireland 8.5%, Netherlands 6.3%, South Korea 5.1%, Australia 5%, Italy 4.6%(2017)","crude oil, timber, manganese, uranium",$2.829 billion,"France 23.6%, Belgium 19.6%, China 15.2%(2017)","machinery and equipment, foodstuffs, chemicals, construction materials",$981.6 million,$6.49 billion,-,-,1.43% of GDP,44,649 km,"9,170 km","1,600 km",27,2.244 billion kWh,2.071 billion kWh,0 kWh,344 million kWh,"671,000 kW",51% of total installed capacity,0% of total installed capacity,49% of total installed capacity,0% of total installed capacity,"198,800 bbl/day","214,200 bbl/day",0 bbl/day,2 billion bbl,"16,580 bbl/day","24,000 bbl/day","4,662 bbl/day","10,680 bbl/day",401 million cu m,401 million cu m,0 cu m,0 cu m,28.32 billion cu m,"21,235","2,663,243","835,408"
Georgia,"69,700 sq km","4,926,087",0.01%,"12.1 births/1,000 population","10.9 deaths/1,000 population","-1.6 migrant(s)/1,000 population","36 deaths/100,000 live births","14.7 deaths/1,000 live births",76.6 years,1.76 children born/woman,7.4% of GDP,0.40%,"11,000",-,21.70%,1.10%,3.8% of GDP,30.50%,2.535,laris (GEL) per US dollar -,$39.85 billion,5%,"$10,700 ",23% of GDP,6.70%,1.998 million,11.80%,40.1,28.7% (of GDP),-3.8% (of GDP),44.9% of GDP,6%,7%,11.49%,$2.301 billion,$2.301 billion,$8.961 billion,$1.155 billion,-$1.348 billion,$3.566 billion,"Russia 14.5%, Azerbaijan 10%, Turkey 7.9%, Armenia 7.7%, China 7.6%, Bulgaria 6.6%, Ukraine 4.6%, US 4.5%(2017)","vehicles, ferro-alloys, fertilizers, nuts, scrap metal, gold, copper ores",$7.415 billion,"Turkey 17.2%, Russia 9.9%, China 9.2%, Azerbaijan 7.6%, Ukraine 5.6%, Germany 5.4%(2017)","fuels, vehicles, machinery and parts, grain and other foods, pharmaceuticals",$3.039 billion,$16.99 billion,$17.47 billion,$2.477 billion,2.23% of GDP,22,"1,363 km","19,109 km",-,84,13.24 billion kWh,12.37 billion kWh,560 million kWh,1.329 billion kWh,4.641 million kW,35% of total installed capacity,0% of total installed capacity,65% of total installed capacity,0% of total installed capacity,400 bbl/day,"3,006 bbl/day","2,660 bbl/day",35 million bbl,247 bbl/day,"27,000 bbl/day","2,052 bbl/day","28,490 bbl/day",7.363 million cu m,2.294 billion cu m,0 cu m,2.294 billion cu m,8.495 billion cu m,"713,826","5,730,625","2,464,107"
Ghana,"238,533 sq km","28,102,471",2.16%,"30.2 births/1,000 population","6.8 deaths/1,000 population","-1.8 migrant(s)/1,000 population","319 deaths/100,000 live births","34.1 deaths/1,000 live births",67.4 years,3.96 children born/woman,3.6% of GDP,1.70%,"310,000","16,000",10.90%,11%,6.2% of GDP,15.20%,4.385,cedis (GHC) per US dollar -,$134 billion,8.40%,"$4,700 ",9% of GDP,16.70%,12.49 million,11.90%,-,20.3% (of GDP),-6% (of GDP),71.8% of GDP,12.40%,20%,30.35%,$7.018 billion,$7.018 billion,$14.25 billion,$13.41 billion,-$2.131 billion,$13.84 billion,"India 23.8%, UAE 13.4%, China 10.8%, Switzerland 10.1%, Vietnam 5.2%, Burkina Faso 4%(2017)","oil, gold, cocoa, timber, tuna, bauxite, aluminum, manganese ore, diamonds, horticultural products",$12.65 billion,"China 16.8%, US 8%, UK 6.2%, Belgium 5.9%, India 4.1%(2017)","capital equipment, refined petroleum, foodstuffs",$7.555 billion,$22.14 billion,$19.85 billion,$16.62 billion,0.4% of GDP,10,947 km,"109,515 km","1,293 km",44,12.52 billion kWh,9.363 billion kWh,187 million kWh,511 million kWh,3.801 million kW,58% of total installed capacity,0% of total installed capacity,42% of total installed capacity,1% of total installed capacity,"151,000 bbl/day","104,000 bbl/day","6,220 bbl/day",660 million bbl,"2,073 bbl/day","90,000 bbl/day","2,654 bbl/day","85,110 bbl/day",914.4 million cu m,1.232 billion cu m,0 cu m,317.4 million cu m,22.65 billion cu m,"301,551","36,751,761","9,328,018"
Gibraltar,6.5 sq km,"29,461",0.21%,"13.9 births/1,000 population","8.5 deaths/1,000 population","-3.3 migrant(s)/1,000 population",-,"5.8 deaths/1,000 live births",79.7 years,1.9 children born/woman,-,-,-,-,-,-,-,-,0.885,Gibraltar pounds (GIP) per US dollar -,$2.044 billion,-,"$61,700 ",-,-,"24,420",1%,-,23.3% (of GDP),1.1% (of GDP),7.5% of GDP,2.50%,-,-,-,-,-,-,-,$202.3 million,"Spain 27.1%, Germany 20.4%, Netherlands 10.8%, Poland 8.6%, France 6.6%, Italy 5.7%, Cote dIvoire 4.5%(2017)","(principally reexports) petroleum 51%, manufactured goods(2010 est.)",$2.967 billion,"Spain 15.6%, Italy 13.4%, US 13.3%, Netherlands 10.9%, Greece 8.5%, Russia 6.6%, UK 5.8%, Belgium 4.4%(2017)","fuels, manufactured goods, foodstuffs",-,-,-,-,-,1,-,29 km,-,291,238.8 million kWh,230.8 million kWh,0 kWh,0 kWh,"43,000 kW",100% of total installed capacity,0% of total installed capacity,0% of total installed capacity,0% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,"78,000 bbl/day",0 bbl/day,"74,200 bbl/day",0 cu m,0 cu m,0 cu m,0 cu m,0 cu m,"19,753","41,035","27,699"
Grenada,344 sq km,"112,207",0.42%,"15.2 births/1,000 population","8.2 deaths/1,000 population","-2.9 migrant(s)/1,000 population","27 deaths/100,000 live births","9.4 deaths/1,000 live births",74.8 years,2 children born/woman,6.1% of GDP,-,-,-,21.30%,-,10.3% of GDP,-,2.7,East Caribbean dollars (XCD) per US dollar -,$1.634 billion,5.10%,"$15,100 ",11.7% of GDP,10%,"55,270",24%,-,25.8% (of GDP),3.2% (of GDP),70.4% of GDP,0.90%,6.50%,8.31%,$223.3 million,$223.3 million,$550 million,-,-$77 million,$39.9 million,"US 25.3%, Japan 10.1%, Guyana 8.7%, Dominica 6.6%, St. Lucia 6.4%, Netherlands 4.7%, Barbados 4.1%, St. Kitts and Nevis 4%(2017)","nutmeg, bananas, cocoa, fruit and vegetables, clothing, mace, chocolate, fish",$316 million,"US 31.7%, Trinidad and Tobago 24.9%, China 6.7%(2017)","food, manufactured goods, machinery, chemicals, fuel",$199.1 million,$793.5 million,-,-,-,3,-,"1,127 km",-,6,202.1 million kWh,185.1 million kWh,0 kWh,0 kWh,"51,100 kW",96% of total installed capacity,0% of total installed capacity,0% of total installed capacity,4% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,"2,000 bbl/day",0 bbl/day,"1,886 bbl/day",0 cu m,0 cu m,0 cu m,0 cu m,0 cu m,"32,491","113,177","62,123"
Guernsey,78 sq km,"66,697",0.28%,"9.8 births/1,000 population","9 deaths/1,000 population","2.2 migrant(s)/1,000 population",-,"3.4 deaths/1,000 live births",82.7 years,1.57 children born/woman,-,-,-,-,-,-,-,-,0.7836,Guernsey pound per US dollar,$3.465 billion,0.40%,"$52,500 ",-,-,"31,470",1.20%,-,20.6% (of GDP),1.2% (of GDP),-,3.40%,-,-,-,-,-,-,-,-,-,"tomatoes, flowers and ferns, sweet peppers, eggplant, other vegetables",-,-,"coal, gasoline, oil, machinery, and equipment",-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"36,547","71,249","55,050"
Greenland,"2,166,086 sq km","57,691",-0.04%,"14.3 births/1,000 population","8.8 deaths/1,000 population","-6 migrant(s)/1,000 population",-,"8.7 deaths/1,000 live births",72.9 years,1.97 children born/woman,-,-,-,-,-,-,-,-,6.586,Danish kroner (DKK) per US dollar -,$2.413 billion,7.70%,"$41,800 ",-,-,"26,840",9.10%,33.9,77.4% (of GDP),5.6% (of GDP),13% of GDP,0.30%,-,-,-,-,-,-,-,$407.1 million,"Denmark 82.5%, Iceland 4.4%(2017)",fish and fish products 91%(2015 est.),$783.5 million,"Denmark 69.7%, Sweden 10.6%(2017)","machinery and transport equipment, manufactured goods, food, petroleum products",-,$36.4 million,-,-,-,15,-,-,-,8,538 million kWh,468 million kWh,0 kWh,0 kWh,"187,000 kW",51% of total installed capacity,0% of total installed capacity,49% of total installed capacity,0% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,"4,000 bbl/day",0 bbl/day,"3,973 bbl/day",0 cu m,0 cu m,0 cu m,0 cu m,0 cu m,"16,000","61,000","39,544"
Germany,"357,022 sq km","80,457,737",-0.17%,"8.6 births/1,000 population","11.8 deaths/1,000 population","1.5 migrant(s)/1,000 population","6 deaths/100,000 live births","3.4 deaths/1,000 live births",80.9 years,1.46 children born/woman,11.3% of GDP,0.20%,"91,000",-,22.30%,-,4.9% of GDP,7.10%,0.885,euros (EUR) per US dollar -,$4.199 trillion,2.50%,"$50,800 ",28% of GDP,3.30%,45.9 million,3.80%,27,45% (of GDP),1.3% (of GDP),63.9% of GDP,1.70%,0%,1.67%,$2.453 trillion,$2.453 trillion,$5.033 trillion,$1.716 trillion,$291 billion,$1.434 trillion,"US 8.8%, France 8.2%, China 6.8%, Netherlands 6.7%, UK 6.6%, Italy 5.1%, Austria 4.9%, Poland 4.7%, Switzerland 4.2%(2017)","motor vehicles, machinery, chemicals, computer and electronic products, electrical equipment, pharmaceuticals, metals, transport equipment, foodstuffs, textiles, rubber and plastic products",$1.135 trillion,"Netherlands 13.8%, China 7%, France 6.6%, Belgium 5.9%, Italy 5.4%, Poland 5.4%, Czech Republic 4.8%, US 4.5%, Austria 4.3%, Switzerland 4.2%(2017)","machinery, data processing equipment, vehicles, chemicals, oil and gas, metals, electric equipment, pharmaceuticals, foodstuffs, agricultural products",$200.1 billion,$5.326 trillion,$1.653 trillion,$2.298 trillion,1.24% of GDP,539,"33,590 km","645,000 km","7,467 km",614,612.8 billion kWh,536.5 billion kWh,78.86 billion kWh,28.34 billion kWh,208.5 million kW,41% of total installed capacity,5% of total installed capacity,2% of total installed capacity,52% of total installed capacity,"43,410 bbl/day","6,569 bbl/day",1.836 million bbl/day,129.6 million bbl,2.158 million bbl/day,2.46 million bbl/day,"494,000 bbl/day","883,800 bbl/day",7.9 billion cu m,93.36 billion cu m,34.61 billion cu m,119.5 billion cu m,39.5 billion cu m,44.4 million,106 million,"72,365,643"
Guam,544 sq km,"167,772",0.23%,"19.4 births/1,000 population","6 deaths/1,000 population","-11.1 migrant(s)/1,000 population",-,"11.9 deaths/1,000 live births",76.4 years,2.92 children born/woman,-,-,-,-,-,-,-,29.40%,-,-,$5.793 billion,0.40%,"$35,600 ",-,-,"73,210",4.50%,-,21.4% (of GDP),-1% (of GDP),22.1% of GDP,1%,-,-,-,-,-,-,-,$1.124 billion,Palau 13.6%(2017),"transshipments of refined petroleum products, construction materials, fish, foodstuffs and beverages",$2.964 billion,"Singapore 41.7%, Japan 30.6%, Hong Kong 10.6%(2017)","petroleum and petroleum products, food, manufactured goods",-,-,-,-,-,5,-,"1,045 km",-,3,1.722 billion kWh,1.601 billion kWh,0 kWh,0 kWh,"560,000 kW",94% of total installed capacity,0% of total installed capacity,0% of total installed capacity,6% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,"14,000 bbl/day",0 bbl/day,"13,500 bbl/day",0 cu m,0 cu m,0 cu m,0 cu m,0 cu m,"68,000","181,000","125,328"
Greece,"131,957 sq km","10,761,523",-0.07%,"8.3 births/1,000 population","11.4 deaths/1,000 population","2.3 migrant(s)/1,000 population","3 deaths/100,000 live births","4.5 deaths/1,000 live births",80.8 years,1.44 children born/woman,8.1% of GDP,0.20%,"14,000",-,24.90%,-,-,47.30%,0.885,euros (EUR) per US dollar -,$299.3 billion,1.40%,"$27,800 ",10.9% of GDP,3.50%,4.769 million,21.50%,36.7,48.8% (of GDP),0.8% (of GDP),181.8% of GDP,1.10%,0.05%,5.25%,$106.6 billion,$106.6 billion,$248.7 billion,$42.08 billion,-$1.596 billion,$31.54 billion,"Italy 10.6%, Germany 7.1%, Turkey 6.8%, Cyprus 6.5%, Bulgaria 4.9%, Lebanon 4.3%(2017)","food and beverages, manufactured goods, petroleum products, chemicals, textiles",$52.27 billion,"Germany 10.4%, Italy 8.2%, Russia 6.8%, Iraq 6.3%, South Korea 6.1%, China 5.4%, Netherlands 5.3%, France 4.3%(2017)","machinery, transport equipment, fuels, chemicals",$7.807 billion,$506.6 billion,$35.48 billion,$29.64 billion,2.4% of GDP,77,"2,548 km","116,960 km",6 km,"1,364",52.05 billion kWh,56.89 billion kWh,1.037 billion kWh,9.833 billion kWh,19.17 million kW,57% of total installed capacity,0% of total installed capacity,14% of total installed capacity,29% of total installed capacity,"2,753 bbl/day","3,229 bbl/day","484,300 bbl/day",10 million bbl,"655,400 bbl/day","304,100 bbl/day","371,900 bbl/day","192,200 bbl/day",8 million cu m,4.927 billion cu m,0 cu m,4.984 billion cu m,991.1 million cu m,"5,176,475","12,937,106","7,443,016"
Guatemala,"108,889 sq km","16,581,273",1.72%,"24.6 births/1,000 population","5 deaths/1,000 population","-1.9 migrant(s)/1,000 population","88 deaths/100,000 live births","23.3 deaths/1,000 live births",71.8 years,2.87 children born/woman,6.2% of GDP,0.40%,"46,000","2,000",21.20%,12.60%,2.8% of GDP,6.10%,7.323,quetzales (GTQ) per US dollar -,$138.1 billion,2.80%,"$8,200 ",13.6% of GDP,1.80%,6.664 million,2.30%,53,10.8% (of GDP),-1.3% (of GDP),24.7% of GDP,4.40%,7.53%,13.05%,$12.23 billion,$12.23 billion,$32.31 billion,-,$1.134 billion,$11.12 billion,"US 33.8%, El Salvador 11.1%, Honduras 8.8%, Nicaragua 5.1%, Mexico 4.7%(2017)","sugar, coffee, petroleum, apparel, bananas, fruits and vegetables, cardamom, manufacturing products, precious stones and metals, electricity",$17.11 billion,"US 39.8%, China 10.7%, Mexico 10.7%, El Salvador 5.3%(2017)","fuels, machinery and transport equipment, construction materials, grain, fertilizers, electricity, mineral products, chemical products, plastic materials and products",$11.77 billion,$22.92 billion,$16.2 billion,-,0.37% of GDP,291,800 km,"17,621 km",990 km,9,12.12 billion kWh,10.1 billion kWh,1.858 billion kWh,747 million kWh,4.605 million kW,41% of total installed capacity,0% of total installed capacity,31% of total installed capacity,28% of total installed capacity,"9,666 bbl/day","9,383 bbl/day",0 bbl/day,83.07 million bbl,"1,162 bbl/day","89,000 bbl/day","10,810 bbl/day","97,900 bbl/day",0 cu m,0 cu m,0 cu m,0 cu m,2.96 billion cu m,"2,461,109","19,986,482","5,241,952"
Guinea,"245,857 sq km","11,855,411",2.75%,"36.4 births/1,000 population","8.9 deaths/1,000 population","0 migrant(s)/1,000 population","679 deaths/100,000 live births","55.3 deaths/1,000 live births",62.1 years,4.98 children born/woman,5.6% of GDP,1.50%,"120,000","5,100",7.70%,18.30%,2.4% of GDP,1%,"9,230",Guinean francs (GNF) per US dollar -,$27.97 billion,8.20%,"$2,200 ",5.1% of GDP,11%,5.558 million,2.70%,39.4,16.6% (of GDP),-0.5% (of GDP),37.9% of GDP,8.90%,22.25%,22.20%,$1.84 billion,$1.84 billion,$1.762 billion,-,-$705 million,$3.514 billion,"China 35.8%, Ghana 20.1%, UAE 11.6%, India 4.3%(2017)","bauxite, gold, diamonds, coffee, fish, agricultural products",$4.799 billion,"Netherlands 17.2%, China 13.2%, India 11.8%, Belgium 10%, France 6.9%, UAE 4.5%(2017)","petroleum products, metals, machinery, transport equipment, textiles, grain and other foodstuffs",$331.8 million,$1.458 billion,$3.174 billion,$1.8 million,2.49% of GDP,16,"1,086 km","44,348 km","1,300 km",1,598 million kWh,556.1 million kWh,0 kWh,0 kWh,"550,000 kW",33% of total installed capacity,0% of total installed capacity,67% of total installed capacity,0% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,"19,000 bbl/day",0 bbl/day,"18,460 bbl/day",0 cu m,0 cu m,0 cu m,0 cu m,0 cu m,0,10.8 million,"1,185,148"
Guyana,"214,969 sq km","740,685",0.48%,"15.4 births/1,000 population","7.4 deaths/1,000 population","-4.8 migrant(s)/1,000 population","229 deaths/100,000 live births","29.5 deaths/1,000 live births",68.9 years,1.97 children born/woman,5.2% of GDP,1.70%,"8,200",-,20.20%,8.50%,3.2% of GDP,21.60%,207,Guyanese dollars (GYD) per US dollar -,$6.301 billion,2.10%,"$8,100 ",10.5% of GDP,-5%,"313,800",11.10%,44.6,28.1% (of GDP),-4.5% (of GDP),52.2% of GDP,2%,5.50%,13%,$758.4 million,$758.4 million,$1.903 billion,$610.9 million,-$237 million,$1.439 billion,"Canada 24.9%, US 16.5%, Panama 9.6%, UK 7.7%, Jamaica 5.1%, Trinidad and Tobago 5%(2017)","sugar, gold, bauxite, alumina, rice, shrimp, molasses, rum, timber",$1.626 billion,"Trinidad and Tobago 27.5%, US 26.5%, China 8.9%, Suriname 6.1%(2017)","manufactures, machinery, petroleum, food",$565.4 million,$1.69 billion,-,-,1.42% of GDP,117,-,"7,970 km",330 km,55,1.01 billion kWh,790.1 million kWh,0 kWh,0 kWh,"428,000 kW",89% of total installed capacity,0% of total installed capacity,0% of total installed capacity,11% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,"14,000 bbl/day",0 bbl/day,"13,720 bbl/day",0 cu m,0 cu m,0 cu m,0 cu m,0 cu m,"135,795","643,210","262,425"
Gaza Strip,360 sq km,"1,836,713",2.25%,"30.5 births/1,000 population","3 deaths/1,000 population","-5.1 migrant(s)/1,000 population","45 deaths/100,000 live births","16 deaths/1,000 live births",74.4 years,3.97 children born/woman,-,-,-,-,-,1.40%,5.7% of GDP,40.70%,-,-,-,-15.20%,-,-,2.20%,1.24 million,27.90%,-,-,-,-,0.20%,-,-,-,$2.901 billion,$2.041 billion,-,-$1.444 billion,$1.955 billion,-,"strawberries, carnations, vegetables, fish (small and irregular shipments, as permitted to transit the Israeli-controlled Kerem Shalom crossing)",$8.59 billion,-,"food, consumer goods, fuel",$446.3 million,-,-,-,-,1,-,-,-,-,"51,000 kWh","202,000 kWh",0 kWh,"193,000 kWh",-,-,-,-,-,-,-,-,0 bbl,-,-,-,-,-,-,-,-,-,"432,000",-,2.673 million
